version,concepts,reader_n_responses,api_quality_mean,api_risk_mean,pre_accuracy,post_accuracy,accuracy_change,reader_confidence_mean,reader_perceived_risk_mean
A,6,60,4.0814814814814815,1.7407407407407407,0.8999999999999999,0.9555555555555556,0.05555555555555555,4.1499999999999995,2.7472222222222222
B,6,60,4.562962962962963,1.2407407407407407,0.811111111111111,0.9194444444444444,0.10833333333333334,4.036111111111111,2.727777777777778
C,6,58,4.696296296296296,1.2222222222222223,0.8563218390804598,0.9798850574712644,0.1235632183908046,4.17816091954023,3.0373563218390807
