sensitivity_family,scenario,detail,inference_role,wave,n_rows,n_stimuli,controls,slope,ci_low_hc3,ci_high_hc3,p_hc3_unadjusted_descriptive,threshold_pct
QC threshold refit,threshold_70,scenario-specific wave-by-dimension standardization; descriptive HC3 only,descriptive_HC3_only,首轮专家复核,1068,178,domain+task+dimension,0.23156385314634806,0.15194113008209936,0.31118657621059675,1.1974309227586923e-08,70
QC threshold refit,final_primary,scenario-specific wave-by-dimension standardization; descriptive HC3 only,descriptive_HC3_only,首轮专家复核,1068,178,domain+task+dimension,0.23156385314634806,0.15194113008209936,0.31118657621059675,1.1974309227586923e-08,75
QC threshold refit,threshold_80,scenario-specific wave-by-dimension standardization; descriptive HC3 only,descriptive_HC3_only,首轮专家复核,1068,178,domain+task+dimension,0.2105707704563781,0.12330391300439279,0.2978376279083634,2.252955571841754e-06,80
QC threshold refit,threshold_90,scenario-specific wave-by-dimension standardization; descriptive HC3 only,descriptive_HC3_only,首轮专家复核,852,142,domain+task+dimension,0.1803250248910258,0.0872646770920811,0.27338537268997054,0.000145948299010295,90
QC threshold refit,threshold_95,scenario-specific wave-by-dimension standardization; descriptive HC3 only,descriptive_HC3_only,首轮专家复核,852,142,domain+task+dimension,0.20878931856374852,0.0983003204180806,0.3192783167094164,0.0002124665796664149,95
