case_id,survey_A_sha256,machine_A_sha256,version_A_exact_match,survey_A_characters,machine_A_characters,survey_B_sha256,machine_B_sha256,version_B_exact_match,survey_B_characters,machine_B_characters,pair_exact_match,crosswalk_status
A01,1a2753e1b9214b3b257c7ca1b697bd70c92de9b67f7ebff3ffbc89349ec023c0,1a2753e1b9214b3b257c7ca1b697bd70c92de9b67f7ebff3ffbc89349ec023c0,1,93,93,336e1c1e563b70e44603f7f3c16b076c6a1e8c9b4a6276441b0962c8e5220229,336e1c1e563b70e44603f7f3c16b076c6a1e8c9b4a6276441b0962c8e5220229,1,54,54,1,PASS_EXACT
A02,43d37e69406eb927cba6c9d2d37c084ddf05eae0ab99f2526ff4331bad867eaf,43d37e69406eb927cba6c9d2d37c084ddf05eae0ab99f2526ff4331bad867eaf,1,75,75,70f962ac193fef23d0073999157625f89e677c9292b0a613d811edf9ecddafc0,70f962ac193fef23d0073999157625f89e677c9292b0a613d811edf9ecddafc0,1,40,40,1,PASS_EXACT
A03,5e123976390b08a6355e88b28edb622daedfadc6c59e870fd2e619e8aefc3e4e,5e123976390b08a6355e88b28edb622daedfadc6c59e870fd2e619e8aefc3e4e,1,52,52,b816a4ecc0d28bf99390f6ca3f32ff1b41a8d9e7c57729fb7af2492812792de4,b816a4ecc0d28bf99390f6ca3f32ff1b41a8d9e7c57729fb7af2492812792de4,1,95,95,1,PASS_EXACT
A04,cbf541ac7373563f18f3aa1c5362535ec53cf20de51d7beb89dc3e4da7ea8109,cbf541ac7373563f18f3aa1c5362535ec53cf20de51d7beb89dc3e4da7ea8109,1,58,58,fd310f77872004b5cfbaa0804a3c302e0772cba1844cc1bc470ccae7ff75535e,fd310f77872004b5cfbaa0804a3c302e0772cba1844cc1bc470ccae7ff75535e,1,85,85,1,PASS_EXACT
A05,34af951f613f91e917f48a41e2d04c08aec83337b4127a6b1a7dc7702b1207ec,34af951f613f91e917f48a41e2d04c08aec83337b4127a6b1a7dc7702b1207ec,1,87,87,36a8c18dbbb626f1944d21fcba4eb4d096203491048598867b581d14e40524f1,36a8c18dbbb626f1944d21fcba4eb4d096203491048598867b581d14e40524f1,1,54,54,1,PASS_EXACT
A06,f091680a70946999979a4121d8a2d98aed69dce8599c3154500cf3d8fea96378,f091680a70946999979a4121d8a2d98aed69dce8599c3154500cf3d8fea96378,1,76,76,88010f1a65645410e61e80f9545f3dbc791f010b92cfc18fc41661c2ac08abd2,88010f1a65645410e61e80f9545f3dbc791f010b92cfc18fc41661c2ac08abd2,1,58,58,1,PASS_EXACT
A07,ce9f7a687e87f99eb368d5bd21aa440deed7b9879016577db440fa2ab83d3291,ce9f7a687e87f99eb368d5bd21aa440deed7b9879016577db440fa2ab83d3291,1,58,58,829afb4920f3be1e821017c8765bd52a817c23262d247906d752218e4a81b171,829afb4920f3be1e821017c8765bd52a817c23262d247906d752218e4a81b171,1,38,38,1,PASS_EXACT
A08,6b7f80f9f7d4621d47c9f9f0163406bba5ede7cebfd47e93bb20850bd9377be4,06a96f74855a0e71cd8fbcba2eef404899d46dc3a1ba5ef3b1e37a5a1702c7d7,0,54,60,8d7ba1173072df4f80351c3e146a5c3adadf8ad0ec70ac7f714688b179b8a777,8d7ba1173072df4f80351c3e146a5c3adadf8ad0ec70ac7f714688b179b8a777,1,77,77,0,FAIL_EXACT_TEXT
