sensitivity_family,scenario,detail,inference_role,wave,n_rows,n_stimuli,controls,slope,ci_low_hc3,ci_high_hc3,p_hc3_unadjusted_descriptive
leave-one-generator-out,exclude::OpenAI GPT,generator omitted before stimulus-signature pooling,descriptive_HC3_only,首轮专家复核,780.0,130,domain+task+dimension,0.1991043151599769,0.09706961004626412,0.30113902027368966,0.0001310087839146138
leave-one-generator-out,exclude::OpenAI GPT,generator omitted before stimulus-signature pooling,descriptive_HC3_only,二次专家复核,174.0,29,domain+task+dimension+selection_role,0.6481987633768657,0.46303614673067767,0.8333613800230537,6.826257525394483e-12
leave-one-generator-out,exclude::Zhipu GLM,generator omitted before stimulus-signature pooling,descriptive_HC3_only,首轮专家复核,738.0,123,domain+task+dimension,0.1732980029888635,0.07337956520610828,0.2732164407716187,0.000675459642128949
leave-one-generator-out,exclude::Zhipu GLM,generator omitted before stimulus-signature pooling,descriptive_HC3_only,二次专家复核,162.0,27,domain+task+dimension+selection_role,0.7439787240937645,0.5679629848629004,0.9199944633246286,1.1878131133007736e-16
API aggregation,scheduled_source_uid_mean,nine current judges for the crosswalk-scheduled source UID only,descriptive_HC3_only,首轮专家复核,864.0,144,domain+task+dimension,0.18148508786778447,0.08921841182173712,0.2737517639138318,0.00011564660067412396
API aggregation,scheduled_source_uid_mean,nine current judges for the crosswalk-scheduled source UID only,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.6275311514466387,0.44690042464560975,0.8081618782476677,9.818937974740545e-12
leave-one-domain-out,exclude::Biology,analysis sample omits one domain,descriptive_HC3_only,首轮专家复核,636.0,106,domain+task+dimension,0.2007778960639368,0.10309054625852973,0.29846524586934386,5.617308039377017e-05
leave-one-domain-out,exclude::Chemistry,analysis sample omits one domain,descriptive_HC3_only,首轮专家复核,636.0,106,domain+task+dimension,0.2107971721709742,0.10225430359847115,0.31934004074347727,0.00014101849235347052
leave-one-domain-out,exclude::Geoscience,analysis sample omits one domain,descriptive_HC3_only,首轮专家复核,636.0,106,domain+task+dimension,0.2094474060722923,0.08179126591848537,0.3371035462260993,0.0013010717244358984
leave-one-domain-out,exclude::Physics,analysis sample omits one domain,descriptive_HC3_only,首轮专家复核,648.0,108,domain+task+dimension,0.07994705140604846,-0.002932213228543701,0.16282631604064063,0.05867485297642065
leave-one-domain-out,exclude::Biology,analysis sample omits one domain,descriptive_HC3_only,二次专家复核,144.0,24,domain+task+dimension+selection_role,0.689452923123386,0.5036338896905622,0.8752719565562098,3.5382428922147655e-13
leave-one-domain-out,exclude::Chemistry,analysis sample omits one domain,descriptive_HC3_only,二次专家复核,144.0,24,domain+task+dimension+selection_role,0.6286086073117002,0.4389838656155379,0.8182333490078625,8.177029303158743e-11
leave-one-domain-out,exclude::Climate/Environment,analysis sample omits one domain,descriptive_HC3_only,二次专家复核,144.0,24,domain+task+dimension+selection_role,0.6357829737646934,0.4360685790990863,0.8354973684303004,4.39059368513544e-10
leave-one-domain-out,exclude::Geoscience,analysis sample omits one domain,descriptive_HC3_only,二次专家复核,144.0,24,domain+task+dimension+selection_role,0.7010846124814686,0.4975853427348945,0.9045838822280426,1.4545811128425039e-11
leave-one-domain-out,exclude::Physics,analysis sample omits one domain,descriptive_HC3_only,二次专家复核,144.0,24,domain+task+dimension+selection_role,0.44880695354745037,0.2632276528534724,0.6343862542414284,2.1372060793615312e-06
leave-one-concept-out,exclude::Biology||C13,one domain-by-concept cluster omitted,descriptive_HC3_only,首轮专家复核,816.0,136,domain+task+dimension,0.1897419655914586,0.09532065878245446,0.2841632724004627,8.195966463148312e-05
