dimension,n_rows,n_stimuli,first_mean,second_mean,mean_second_minus_first,mae_between_waves,pearson_r,spearman_rho,lin_ccc
all,180,30,4.044444444444444,3.8222922176579295,-0.22215222678651472,0.6068922352300835,0.3644047312770684,0.3559641078321001,0.31725580195443187
cc,30,30,3.925,3.198811925089015,-0.726188074910985,0.8467869205098306,0.31850387034226774,0.33364229124918904,0.1283121382416982
fa,30,30,4.366666666666666,4.077301347173637,-0.2893653194930285,0.48722739893405537,0.6787668801499875,0.4837537935241358,0.4962385153255102
lc,30,30,4.083333333333333,4.1635008309543915,0.080167497621058,0.4331464802827032,0.3738928068754,0.4341392307855201,0.2125191556982265
mq,30,30,3.6666666666666665,3.4703271380322462,-0.19633952863442025,0.8532716316191549,-0.06739840869555733,-0.0837195638662848,-0.0507320462571637
risk,30,30,4.2,3.9033376388833045,-0.29666236111669547,0.5402590422133766,0.5945477557037,0.3376058336446278,0.42884798332664154
tf,30,30,4.025,4.120474425814982,0.09547442581498301,0.48066193782138045,0.34041713675004615,0.3589698557009221,0.22094196599681776
