wave,dimension,n_rows,api_mean_aligned,api_sample_sd,human_mean_aligned,human_sample_sd,api_mean_raw_risk,human_mean_raw_risk
二次专家复核,cc,30,2.7933333333333326,0.6352267187773326,3.198811925089015,0.32855826405487426,2.7933333333333326,3.198811925089015
二次专家复核,fa,30,3.947407407407407,0.7271768355323273,4.077301347173637,0.3593688744352527,3.947407407407407,4.077301347173637
二次专家复核,lc,30,4.383703703703704,0.4493951597975843,4.1635008309543915,0.1817338230825047,4.383703703703704,4.1635008309543915
二次专家复核,mq,30,3.668148148148148,0.8195552341929152,3.4703271380322462,0.4042081286137119,3.668148148148148,3.4703271380322462
二次专家复核,risk,30,4.0088888888888885,0.6571375158764287,3.9033376388833045,0.37052175037005797,1.9911111111111115,2.0966623611166955
二次专家复核,tf,30,4.021481481481482,0.7138234511406343,4.120474425814982,0.24974197914414586,4.021481481481482,4.120474425814982
首轮专家复核,cc,142,2.8934272300469486,0.47818747425760355,4.326291079812207,0.6983807793302952,2.8934272300469486,4.326291079812207
首轮专家复核,fa,142,4.115515314106863,0.5426016962716028,4.523474178403756,0.6985833772336082,4.115515314106863,4.523474178403756
首轮专家复核,lc,142,4.484372904091214,0.3865773553079325,4.3462441314554,0.6137619094615591,4.484372904091214,4.3462441314554
首轮专家复核,mq,142,3.8359713838587073,0.6682489515086923,3.9377934272300474,0.9814290482381302,3.8359713838587073,3.9377934272300474
首轮专家复核,risk,142,4.142611222892913,0.47854871413273004,4.400234741784039,0.6953237532333072,1.8573887771070874,1.5997652582159612
首轮专家复核,tf,142,4.216051866756093,0.6073204921984027,4.441314553990611,0.5498037414361235,4.216051866756093,4.441314553990611
