wave,family,n_levels,statistic,observed,permutation_p,n_permutations,exact,null_model,full_model,interaction_df,denominator_df,exact_identity_difference,p_adjusted_holm_within_wave,significant_at_0_05
首轮专家复核,task,3,incremental_F_for_api_z_by_family_interactions,6.804018192720591,0.08849115088491151,10000,False,common nonzero api_z slope plus all fixed main effects,null model plus api_z-by-task interactions,2,1053,,0.10518948105189481,False
首轮专家复核,domain,5,incremental_F_for_api_z_by_family_interactions,5.839886018985396,0.052594740525947405,10000,False,common nonzero api_z slope plus all fixed main effects,null model plus api_z-by-domain interactions,4,1051,,0.10518948105189481,False
二次专家复核,task,3,incremental_F_for_api_z_by_family_interactions,6.657269570845341,0.037017822265625,32768,True,common nonzero api_z slope plus all fixed main effects,null model plus api_z-by-task interactions,2,164,-4.973799150320701e-14,0.07403564453125,False
二次专家复核,domain,5,incremental_F_for_api_z_by_family_interactions,0.28316220615207366,0.965118408203125,32768,True,common nonzero api_z slope plus all fixed main effects,null model plus api_z-by-domain interactions,4,162,-2.758904216193514e-14,0.965118408203125,False
