provider,run_start_utc,run_end_utc,attempt_records,final_successes,selected_items,score_rows,score_sha256,run_manifest_sha256,source_manifest_expected_sha256,status,source_directory_label
anthropic,2026-07-11T14:58:19+00:00,2026-07-11T15:02:03+00:00,286,270,270,270,19f62f42f62db29c1ed3e94eab95550239a26aefc1f1a8111b05e44c34821fdb,0378bc7785ce2b67e47922a099acf273e1ecb2f7ebf0a9ac0f03c63a6b03c8f7,19f62f42f62db29c1ed3e94eab95550239a26aefc1f1a8111b05e44c34821fdb,parallel_pass,anthropic_full_corrected_parallel10_20260711_225819
deepseek,2026-07-11T08:33:17+00:00,2026-07-11T08:58:35+00:00,276,270,270,270,5f8db7aac72db6c0064e35224ff0569674e8d9bc3aadd90cc785a99912f5695b,8e626bf3fa34ee1aaa52416864027d469e7b7416d4abf9ac73b082cbc22f3401,5f8db7aac72db6c0064e35224ff0569674e8d9bc3aadd90cc785a99912f5695b,pass,deepseek_full_corrected_20260711_1650
doubao,2026-07-11T13:35:07+00:00,2026-07-11T13:38:56+00:00,271,270,270,270,2b85bdfb74494b0c2bfa7cada9eb0e6a994d14c1050049639e93187c5c9f70e2,89fafcf8e9f65d93a5619b95717183c5d0d6b1f66c0915fcb7efd59ae8ee77ee,2b85bdfb74494b0c2bfa7cada9eb0e6a994d14c1050049639e93187c5c9f70e2,parallel_pass,doubao_full_corrected_parallel10_20260711_2135
gemini,2026-07-11T15:03:47+00:00,2026-07-11T15:59:32+00:00,286,270,270,270,98b946c67e5bbee996046d13a15913934cb9694548a763d3576c906d8d77ac0b,2b120780b40c3878a6692b3f1c64a8a44ccb4af69c08cda2a9655973c42820bc,98b946c67e5bbee996046d13a15913934cb9694548a763d3576c906d8d77ac0b,pass,gemini_full_corrected_sequential_20260711_2325
glm,2026-07-11T13:13:06+00:00,2026-07-11T13:24:00+00:00,272,270,270,270,9d86b9ac6878993e368688641683211cb32f2d0badd9cbb88e140c4fb08c8a24,39f87a61bc322c914b1a673ca3947feafb98682aeac719b7fdc0c72fb8032fa8,9d86b9ac6878993e368688641683211cb32f2d0badd9cbb88e140c4fb08c8a24,parallel_pass,glm_full_corrected_parallel10_20260711_2113
kimi,2026-07-11T12:35:10+00:00,2026-07-11T13:03:26+00:00,282,270,270,270,39f8291e4fb1bc0e87445591a71c84417c55216154ff895f341ce9df4a6eb09c,e01c3d43eea98a06f3c91a136124d2bba6a1a05cd6d1d16f027d679cd57a9ce8,39f8291e4fb1bc0e87445591a71c84417c55216154ff895f341ce9df4a6eb09c,parallel_pass,kimi_full_corrected_parallel25_20260711_2035
mimo,2026-07-11T16:46:34+00:00,2026-07-11T16:49:28+00:00,276,270,270,270,86a6ce6424e08e062a3b2f21c371041ffcb23dd333815a69338d5f5653d54593,7fa5b5cf01ea6dccc9c84c8bfed4727771c6cf82db2c458940bbe8484688fa5f,86a6ce6424e08e062a3b2f21c371041ffcb23dd333815a69338d5f5653d54593,parallel_pass,mimo_full_corrected_parallel10_funded_20260712_004634_498
openai,2026-07-11T15:24:02+00:00,2026-07-11T15:35:13+00:00,281,270,270,270,c1cf8cb6462c25b47b40c936cbd41c6cbeabc41f7f14f4969c6dae2188188db5,67ea9ccdcf4b61e00fababe7fc168f7ec4b0297a125e66b3718f12715e9ee6bd,c1cf8cb6462c25b47b40c936cbd41c6cbeabc41f7f14f4969c6dae2188188db5,parallel_pass,openai_full_corrected_parallel5_5a_retry2_20260711_232402
qwen,2026-07-11T16:44:43+00:00,2026-07-11T16:49:22+00:00,276,270,270,270,78b9c18b7059637db92dc440f76b4e8245c53fa8f9f5f9710d60a01bc8a04b52,c7ca2fb3722580c0045dffd1974c87e4b6f5b879d66e1c4b3221aa76af24eafa,78b9c18b7059637db92dc440f76b4e8245c53fa8f9f5f9710d60a01bc8a04b52,parallel_pass,qwen_full_corrected_parallel10_rebill_20260711T164440Z
